a 可
busj 絣
buu 又
buub 又
buup 𮟨
buuu 羼
buuu 癶
buuu 龴
buuu ⼜
buuu ⽨
buuu コ
buuu ス
buuu マ
buuu ュ
buuu ユ
buvq 𭃦
bv 局
bvbb 𭆬
bvbb 𮍍
bvbm 𭾆
bvbm 𭾋
bvbm 𭾏
bvbm 𮗘
bvbu 𮍌
bvlv 局
bvn 艰
bvnu 艰
bvvk 𭽅
bvvq 𭿵
bvvv 孱
bw 难
bwfv 𭃛
bwiu 难
bwnd 𭷔
bwpd 𮟈
bwss 𭕠
bx 劝
bxel 屫
bxku 劝
bxlf 𭃼
bxx 屈
bxxg 屈
by 鸡
byac 𭔲
byah 鸤
byau 鸡
byf 尻
byfh 尻
byfm 𭕪
byi 忌
byij 忌
byj 彙
byjf 彙
byro 鵋
c 好
ca 民
cab 陬
cabd 𮤺
cabu 陬
cabu 娵
cac 导
cacj 𭒅
cack 导
caee 𭽞
caeh 敃
caej 暋
caek 𮔧
caem 睯
caey 愍
caid 𭘏
caik 民
caik ⺠
cajb 敯
cajr 昬
cajr 𮥀
cakk 蟁
cal 阿
cala 𮥌
calc 娿
call 𮥯
calv 阿
calv 妸
cam 陈
cama 陈
camd 刡
cann 奵
caon 𭑮
capw 𭤙
caq 娆
caqh 娆
caro 鴖
cau 娅
caue 娅
cauj 𮥔
caur 𭒭
cax 陆
caxg 陆
caxx 𮊼
cb 努
cbb 巴
cbbb 娺
cbbc 巴
cbc 妞
cbcn 妞
cbdg 婮
cbdh 砮
cbdh 墬
cbdn 𭑪
cbf 陉
cbfo 陉
cbfu 嬁
cbfu 隥
cbgh 𮂃
cbhk 媉
cbj 妃
cbjn 妃
cbk 胬
cbkk 孎
cbkt 胬
cbkv 娽
cblo 隦
cblv 妱
cbm 姆
cbmf 媚
cbmn 姆
cbmv 帑
cbmy 乸
cbnv 𮛖
cbo 韌
cbod 韌
cbpd 𮞎
cbr 妮
cbri 妮
cbrm 娓
cbsb 婽
cbte 妜
cbtu 拏
cbu 奴
cbun 奴
cbv 弩
cbvg 弩
cbvk 孥
cbwg 𮥓
cbx 驽
cbxk 努
cbxm 驽
cby 怒
cbyi 怒
cc 她
cca 婀
ccai 姄
ccal 婀
ccbn 妑
ccbt 𭒌
ccc 姦
ccch 𭒋
cccn 姦
ccfj 𭒜
ccft 巺
ccfv 𭩿
cchg 姧
ccin 媁
ccji 郼
ccjn 邚
ccnk 𭑭
ccnn 奻
ccqf 韖
ccqf 媃
ccql 𭒠
ccqp 𭑴
ccs 巽
ccsp 選
ccst 巽
ccst 巽
ccsw 嫷
ccu 妤
ccun 妤
ccyj 阤
ccyn 她
ccyn 𭑫
cd 姑
cdac 陦
cdb 妓
cdbu 妓
cdcn 婹
cdf 孀
cdfc 隇
cdfc 媙
cdfm 孀
cdfs 嫮
cdgn 姑
cdh 嫖
cdhn 妬
cdhs 嫖
cdht 陻
cdj 陌
cdjn 娸
cdjr 陌
cdk 陡
cdkb 预
cdkd 婻
cdkj 陡
cdl 嬉
cdlv 嬉
cdlv 娝
cdmt 嫃
cdnn 妦
cdox 嫴
cdq 陇
cdqa 𭒢
cdqp 陇
cdqr 娔
cdsj 𮥆
cdsm 隫
cdsr 嬬
cdsr 隭
cdsv 𮥡
cdto 娏
cdu 嫱
cduj 阫
cdul 嫱
cdun 妚
cdvi 娍
cdwe 𭒩
cdwy 媩
cdxi 媅
ce 附
cea 降
ceac 附
ceao 降
ceb 阪
cebu 阪
cecn 娞
ceen 婬
ceen 姙
cef 隆
ceff 櫽
ceff 檃
cefl 姤
ceft 娦
cefv 婇
cefw 隆
cefw 鿧
cefy 隱
ceg 隍
cegd 韟
cegn 隍
cegn 媓
ceh 媛
cehb 媛
cehk 攺
cejn 妡
cejr 𭦖
cekv 𭒉
cela 𭒤
celf 媬
cema 𮥩
cemf 𮥬
cemv 婂
cen 妊
cenj 𮧲
cenn 妊
ceo 妖
ceoe 嬓
ceon 妖
cer 韜
cerj 韜
cerj 嫍
ces 陲
cesj 陲
cesj 娷
cest 𮧳
cet 娇
ceti 娇
cevk 娐
cewo 媱
cexf 𭬚
cexn 娗
cext 娰
cexv 婙
cexy 隠
cey 嫒
ceyb 嫒
ceye 嬡
ceyi 𭝆
cf 隔
cfac 𮥕
cfcl 娪
cfd 妩
cfdo 妩
cfgm 𭒪
cfgn 娬
cfgn 陚
cfgo 婖
cfh 阮
cfhj 𬼻
cfhw 阮
cfhw 妧
cfja 婭
cfjf 姮
cfjk 螴
cfjx 婳
cfk 陋
cfkf 𮥫
cfkh 𭎴
cfki 孋
cfkt 陃
cfkx 陋
cfl 嫩
cfle 嫩
cfle 嫰
cfll 𮥪
cfln 隔
cflv 娕
cfmv 姉
cfn 嫣
cfni 姃
cfni 阷
cfnu 嫣
cfnu 媡
cfon 妅
cfs 妍
cfsj 妍
cfst 𭑾
cfuj 陠
cfvf 娙
cfvf 陘
cfx 婕
cfxn 婕
cg 姨
cgac 嫥
cgal 婍
cgal 陭
cgbu 姖
cgei 韚
cgfs 姱
cgfs 陓
cggm 𬼼
cggt 陿
cgin 媔
cgjc 隁
cgjr 媋
cgkd 𭒎
cgkj 𭑻
cgkj 𮥇
cgl 嫗
cgll 嫗
cgmv 𮤼
cgqy 嫕
cgr 陝
cgrh 嫀
cgrr 陝
cgsi 嫤
cgsj 𭑺
cgsl 嫟
cgsl 𮥛
cgso 娀
cgsy 嬺
cgtt 陜
cgu 陕
cgue 陕
cgum 嫽
cgun 妋
cgvg 姨
cgw 妪
cgwl 妪
cgyi 韢
ch 阵
chac 𮥂
chai 韔
chbs 嫊
chcj 阵
che 妹
chen 妹
cher 𮭏
chfv 媟
chfv 韘
chg 奸
chgn 奸
chh 娃
chhg 姸
chhh 嬈
chhh 隢
chht 娃
chjr 陼
chjr 媎
chk 姪
chkn 姪
chlh 嬯
chlr 媴
chlv 姞
chlv 𮥁
chmb 嫧
chmm 嬻
chmm 韥
choe 隞
choi 韎
chon 妺
chqe 陵
chqe 婈
chqh 陸
chr 姥
chri 姥
chry 婊
chs 际
chsj 际
cht 陵
chte 陵
chte 婈
chth 陸
chtl 嬙
chud 婞
chva 嬦
chva 隯
chvv 阹
chw 婧
chwe 隞
chwj 阢
chwy 婧
chyi 娡
chyu 嬄
ci 陪
cidj 𮤽
cie 妒
cien 妒
cifm 𮥰
cifv 媇
cii 韋
ciic 韋
ciii ⾱
cij 障
cijd 障
cijd 嫜
cijg 嬂
cijr 隌
cijy 嬑
cikk 𮥤
cilv 陪
cilv 婄
cinc 媥
ciqw 隡
civi 阸
ciyf 媣
cj 阳
cjb 嫘
cjbs 嫘
cjdn 𭑷
cjf 陽
cjfe 媺
cjfe 嬍
cjfi 妲
cjfn 媞
cjfn 隄
cjft 陽
cjft 婸
cjfu 隑
cjfv 婐
cjg 隈
cjgf 隈
cjhe 媺
cjhg 娨
cjhg 𮥈
cjht 陧
cjj 阝
cjjc 阝
cjjj ⻏
cjjj ⻖
cjjr 娼
cjm 媪
cjmb 嫚
cjmb 𮥝
cjmn 媪
cjmn 韞
cjmw 𮥧
cjor 𭒴
cjrj 阳
cjrr 婫
cjrr 𭒇
cjrr 𮥍
cjsa 韠
cjsb 岊
cjsd 韠
cjsh 婩
cjsn 奾
cjsr 媏
cjv 隰
cjve 𮥘
cjvu 隰
cjwl 孈
cjwy 媦
cjxc 嫐
cjxk 娚
cjyi 媤
ck 娉
cken 妽
ckf 嫻
ckfl 姛
ckfu 孄
ckfv 嫻
ckgd 姎
ckht 姌
ckjn 𭑱
ckk 巳
ckkc 巳
ckkk ⺒
ckkn 娌
cklv 𭑳
ckmb 婌
cko 妯
ckon 妯
ckqe 𭒖
ckru 妠
cksb 嫚
cksb 𮥝
cksk 娉
cksm 媢
ckst 婰
ckte 妠
ckvj 阥
ckwy 嫺
cky 隅
ckyj 隅
ckyn 媀
cl 如
clb 絮
clbs 絮
clde 𭒫
clf 娱
clfg 娱
clfm 𮧮
clfv 桇
clfv 𭑼
clij 陫
clin 婔
clk 陨
clkb 陨
clkm 隤
clkm 嬇
clkt 娲
clkt 𮥖
cll 嬋
clld 嬋
clle 孍
cllf 嬠
clm 隕
clmb 隕
clmv 帤
clmv 𮧯
clns 妕
clri 巼
clro 鴽
cltu 挐
clvb 𭇋
clvg 𭚯
clvi 𭇁
clvi 𬼤
clvn 如
clw 娟
clwy 娟
clx 娛
clxg 娛
clxk 𭄥
clxt 娯
cly 恕
clyi 恕
cm 姐
cmac 𮥎
cmem 隙
cmfa 𭔽
cmfg 隵
cmfn 𭑰
cmfr 嬛
cmfr 𮥥
cmfs 𮥲
cmhd 嬕
cmhw 姯
cmi 阻
cmij 阻
cmin 姐
cmj 隙
cmjd 婥
cmjm 隙
cmlv 阽
cmma 𮥳
cmmb 媜
cmmc 孆
cmmq 𭒈
cmng 嬽
cmon 𭑧
cmq 妙
cmqa 嫭
cmqd 隲
cmqp 妙
cmqp 𮤻
cmun 婋
cmwk 韣
cmwk 𮥦
cmwy 陗
cmwy 娋
cmwy 韒
cmxn 娊
cmxn 媫
cn 女
cnan 媧
cnc 姍
cncn 姍
cndg 婟
cnen 嫼
cng 姻
cngd 姻
cnht 隚
cnij 阯
cnm 嫦
cnma 陟
cnmd 騭
cnmv 嫦
cnmx 骘
cnn 女
cnnc 女
cnnn ⼥
cnt 媼
cntm 媼
cntm 韞
cnvn 娖
co 防
coa 婷
coan 婷
cobb 婠
cocn 姲
cocs 𬻼
cod 嫁
cods 嫁
coe 嫔
coet 嫔
cof 院
coff 媗
cofh 院
cofm 嬪
cofn 婝
cog 妨
cogj 防
cogn 妨
cogn 妵
cohs 婃
coht 埅
coi 陔
coij 陔
coin 姟
cok 婶
coke 婶
coma 婛
comv 姉
con 嬗
conb 婠
conf 嬗
coq 姹
coqa 姹
coqj 嬸
coqj 阬
coqj 妔
coqn 嫙
cor 婉
cora 𭔴
cori 陀
corv 婉
cos 孃
cosr 孃
cot 姣
cotr 嬢
cotw 姣
cou 嫡
coud 嫡
couh 𮥱
coum 媂
couo 嫎
cous 隮
cov 娘
cova 𭔼
covk 韕
covn 娘
covo 妶
covw 𮢳
cox 妫
coxc 嫏
coxo 妫
coya 嬣
coyj 𭒛
coym 𭒑
cp 嫉
cpan 嫲
cpd 違
cpdi 違
cpdy 迆
cpf 娴
cpfv 娴
cpli 孊
cpna 𭒨
cpq 嬷
cpqi 嫉
cpqv 嬷
cpra 隣
cpra 嫾
cprp 𮟠
cpsw 隡
cptl 嫆
cpv 嬤
cpvo 嬤
cpwn 妏
cpxg 𮥅
cpyi 𭑽
cq 柔
cqa 娥
cqag 娥
cqai 奼
cqai 𮤹
cqao 姩
cqbm 娒
cqcy 陁
cqe 骛
cqec 婺
cqec 𭤇
cqed 騖
cqed 𮪘
cqef 楘
cqeg 鞪
cqeg 奦
cqeh 堥
cqeh 敄
cqej 嵍
cqej 暓
cqek 蝥
cqem 瞀
cqer 鶩
cqeu 熃
cqew 鍪
cqew 𭷳
cqex 務
cqex 骛
cqex 𭄶
cqey 鹜
cqey 愗
cqey 𭞤
cqff 𭿸
cqfm 姵
cqfr 鶔
cqfv 柔
cqgu 妷
cqk 鹬
cqkk 蟊
cqkl 矞
cqkl 𭿷
cqkm 劀
cqkp 遹
cqkr 鷸
cqkr 氄
cqky 鹬
cqlr 𮥙
cqmb 矡
cqmm 𭿻
cqmo 阼
cqmo 妰
cqmv 𮥏
cqmw 矟
cqnx 娫
cqnx 𮥋
cqp 矛
cqpe 姂
cqpj 嬏
cqpu 矛
cqpu ⽭
cqs 姚
cqsh 陞
cqsj 矠
cqsj 阩
cqsj 陹
cqss 姚
cqsu 嫵
cqt 矜
cqtb 矝
cqtv 矜
cqvi 阣
cqvm 孂
cqvw 𭿺
cqwj 𰦑
cqx 姊
cqxq 姊
cqye 𭿹
cr 陛
crah 𱀧
crah 𮱀
crck 𱀐
crcn 婑
crcn 𱀚
crdm 𮨊
cren 姡
crfe 𭒧
crfg 𭒧
crfo 隉
crfv 婾
crgl 𮸪
crgn 姾
crhj 𱀇
crhn 姀
crht 隉
crjn 𱙐
crjs 﨩
crjx 𭒥
crkt 嬹
crl 險
crlj 險
crln 嬐
crlv 姳
crmd 娳
crmd 𮥉
crmd 𱂂
crmf 𮥟
crmm 𮥨
crn 嫂
crnb 嫂
crnb 𱀥
crnn 姠
cro 嬝
croj 隝
cror 嬝
crpg 隩
crqg 隩
crqr 婗
crr 妣
crrd 𰋾
crre 階
crre 媘
crrh 陛
crri 妣
crri 阰
crrk 陊
crrk 姼
crst 嬩
crte 𱙚
crw 媲
crwe 𱙩
crwr 媲
crwy 𰌒
cs 随
csac 媷
csar 媶
csbo 妭
csbo 韍
csbu 阪
csc 姬
csck 𭒆
cscn 姬
cscn 姫
cscn 姬
csdi 阧
csef 𱙮
csem 嫄
cser 婲
csew 𱙭
csf 隋
csfa 嬅
csfa 韡
csfb 𲉑
csff 隓
csfg 嫨
csfh 墮
csfh 𱘂
csfi 𱙄
csfj 嶞
csfj 𭗱
csfl 𭒔
csfo 隳
csfp 隨
csft 𮱔
csfu 嬿
csfw 隋
csfw 媠
csgd 媆
csgd 陾
cshh 娾
cshs 嬅
cshs 韡
csj 异
csjd 𰌐
csjg 嫫
csjk 异
csjn 𰐈
csjr 𱀗
csjs 𭒦
csjt 媌
csjv 𮱎
csk 媾
cskg 媖
cskh 媾
cskh 韝
cskh 𱀪
cskj 𭒮
cskn 𮰷
cskt 嫹
csku 孏
csle 𱙴
cslw 孉
csmo 韤
csn 娠
csni 𱀌
csnj 陙
csnn 娠
cspw 𱀎
csqt 韛
csqt 𱙡
csqt 韛
csrj 陑
css 媒
cssf 媒
cssi 姏
cssk 𱙯
cssl 婼
csst 嫹
csst 韛
csst 韛
cst 阱
cstf 𮥗
cstf 𱙤
csti 阱
csti 妌
csti 娂
csvi 阨
csvv 妘
csw 堕
cswb 嬳
cswb 𱀻
cswc 𱀢
cswh 堕
cswk 嬞
cswo 妭
cswo 𮥠
cswo 𱁀
cswo 韍
cswp 随
cswt 𱙨
cswy 陏
cswy 姷
csxo 𰋹
csxt 𡛪
csyd 𭒣
csyo 𮱕
ct 队
cta 婚
ctaf 阺
ctaj 婚
ctao 阺
ctbd 妢
ctby 𭒄
ctby 𭝇
ctej 队
ctf 除
ctfb 姈
ctfb 阾
ctfd 𭒙
ctff 除
ctff 𱂍
ctfh 𭏚
ctfi 险
ctfj 嬒
ctfl 娢
ctfl 𲉝
ctfm 隃
ctfm 媮
ctfm 𮥞
ctfn 婨
ctfn 陯
ctfu 𭒡
ctfu 𱀶
ctfv 妗
ctfv 陰
ctfv 婾
ctgn 姾
cth 坠
ctha 隂
ctht 坠
ctib 𰃟
ctja 嬶
ctja 𮥭
ctjt 媹
ctlf 𱂍
ctlq 娧
ctlq 娧
ctma 𮰽
ctni 𰌃
ctni 𱀏
ctnw 𱀾
cto 妗
ctob 姈
ctob 阾
ctod 𭒙
ctol 娢
ctol 𲉝
ctom 𮥞
ctoo 𰆔
ctov 陰
ctov 妗
ctre 𱀛
ctri 𱙇
ctri 𲉉
ctt 阶
ctte 𱜠
cttf 孅
ctti 阶
ctti 妎
cttl 𱙖
ctvv 妐
ctvv 𱀄
ctwm 嬼
ctxf 婣
ctxj 𮰺
cty 媳
ctyb 𱆦
ctyi 媳
cu 予
cuan 娮
cuao 姅
cubc 𭒵
cud 隊
cudh 墜
cudk 𱁂
cudp 隧
cudp 嬘
cuds 隊
cudu 𰟹
cudw 鐆
cufo 嫅
cuga 𱀵
cugd 媄
cugd 𭑹
cugo 媨
cugt 𱙟
cugv 婘
cuj 婵
cujd 婵
culq 娧
culq 娧
cumo 𮥑
cuoj 阦
cuon 𭴇
cuon 𰋺
cuqf 嫅
cuqg 嬟
curn 𭒳
cus 姘
cusi 𮰾
cusj 姘
cusj 姘
cusu 嫬
cut 隘
cutm 隘
cuu 予
cuuc 予
cuuf 嬫
cuul 嫸
cuul 𮥣
cuuo 婒
cuuo 𭒏
cuuo 𮥐
cuut 嬚
cuv 娣
cuvq 娣
cuvv 𮤾
cuvy 嬨
cuvy 嬨
cuwm 媊
cuwn 𭑬
cux 嫌
cuxk 嫝
cuxt 嫌
cuxt 隒
cuxu 𭒡
cuxu 𱀶
cuxw 嫞
cv 始
cva 娜
cvac 娜
cvcn 𱙃
cvdi 阠
cveb 𰤘
cvhy 𰠣
cvj 奶
cvjf 隟
cvjn 奶
cvkn 好
cvkt 𭁮
cvlh 𰊀
cvlv 始
cvlv 𲉍
cvlx 𱀩
cvmb 𱀕
cvmj 𱀫
cvn 限
cvnj 限
cvnw 婿
cvoc 𭒊
cvov 娹
cvp 陂
cvpi 𱂁
cvpj 陂
cvpm 𰌓
cvqe 陖
cvqi 娭
cvqr 阭
cvs 嫋
cvsi 𱙆
cvss 嫋
cvte 陖
cvto 𰋸
cvug 𰌗
cvwr 𱙦
cvwy 姢
cvya 舝
cvyi 恏
cw 阴
cwbu 𰋼
cwd 婢
cwdi 婢
cwdi 陴
cwdi 婢
cwfv 𮥢
cwg 姓
cwgn 姓
cwh 際
cwhl 婤
cwhs 際
cwij 陮
cwin 婎
cwjr 姰
cwjr 𮥄
cwk 阡
cwkj 阡
cwkk 隀
cwkk 媑
cwkn 奷
cwlv 姁
cwo 妁
cwod 妁
cwpm 婅
cwpm 陱
cwqr 姺
cwrj 㛼
cwss 陲
cwss 娷
cwsw 𮱋
cwt 姝
cwti 姝
cwti 陎
cwti 𮧱
cwtj 𰌛
cwu 隗
cwuj 隗
cwun 媿
cwuo 嫶
cwvl 𰌎
cww 陶
cwwb 孇
cwwf 姗
cwwl 𭑯
cwwo 陶
cwwo 媱
cwwr 𱕂
cwxx 媰
cwyj 阴
cx 妈
cxao 𲉏
cxax 𲊤
cxdh 墬
cxf 媸
cxfk 媸
cxfm 嬧
cxhf 嫿
cxki 𭄵
cxkj 阞
cxkn 𰋶
cxkv 娽
cxl 妇
cxln 妇
cxlv 𮤿
cxmn 妈
cxo 姒
cxot 姒
cxuo 𱙙
cxvx 𮱍
cxxt 嫪
cxxw 嬥
cxxy 𮥚
cxy 婦
cxym 婦
cxym 婦
cy 也
cydd 𭒬
cyei 韐
cyen 姶
cygc 韗
cygc 媈
cygc 𮥒
cyib 𰑈
cyii 𭞈
cyjk 𭒗
cyjt 嫇
cyke 𮥮
cykr 嫓
cyl 豫
cyld 豫
cylo 婏
cylq 娩
cylq 𮥊
cylw 嬎
cylw 嬔
cym 妳
cyma 妳
cymb 媍
cync 𭒚
cynj 陥
cyod 奺
cyor 𮱒
cyoy 𭞉
cyqp 妼
cyqr 妉
cyr 陷
cyrj 陷
cyrj 𭒃
cyry 𭑸
cysj 媕
cysv 姽
cysv 陒
cyte 険
cywj 隖
cyx 隐
cyxv 婙
cyxx 嬆
cyxy 隐
cyxy 𮱏
cyy 也
cyyc 也
cyyy 乜
d 不
da 趣
daaa 𮁖
dab 砌
dabd 砌
dabl 𮀢
dabs 驟
dabt 驟
dabu 趣
dabu 𮪊
dabu 𰶧
dabu 𱁝
dac 寿
dacb 𱴃
dacd 尌
dacj 𲉻
dacn 寿
dacn 寿
dafx 𱳩
dagb 駵
dagj 驑
dagj 𰧡
daky 雫
dalv 砢
damn 盛
danh 矴
daq 硗
daqh 硗
daqh 𰷵
daqj 𱁜
darh 𰦳
darm 駬
dau 焘
daue 𰦴
dauo 焘
dauq 𰦾
daur 𮪜
davi 𮵊
dawg 瓳
dawh 砙
dawu 𱆛
dax 砘
daxg 砘
daxg 豘
daxx 𰭣
dayo 𲉵
db 起
dbac 𰦲
dbac 𱁒
dbao 𰦰
dbbb 𮩾
dbbc 𱄜
dbbf 磉
dbbg 𮪇
dbbs 絜
dbbu 𰦫
dbbu 𰦬
dbdf 𰧨
dbdi 𭃄
dbdk 𮀪
dbdm 頍
dbes 𲌀
dbf 磴
dbfg 騤
dbfi 𰦪
dbfo 硁
dbfo 𱳿
dbfu 磴
dbfu 霯
dbfv 栔
dbfv 𱣀
dbg 契
dbgd 契
dbgd 契
dbh 霨
dbha 霨
dbiv 𰕂
dbjk 起
dbjk 起
dbkc 騒
dbkc 蛪
dbkk 𱵅
dbkm 騛
dbkq 𲃐
dbkv 碌
dbkv 洯
dbkv 騄
dbkv 趢
dbkv 碌
dbkv 碌
dbl 霹
dblo 霹
dblo 礔
dblt 𭣗
dblv 超
dblv 唘
dblv 駋
dblw 𮦾
dbmc 齧
dbmf 𮙣
dbmh 砪
dbmp 𲆈
dbmu 𭯈
dbmw 碿
dbo 騷
dbod 駅
dbod 𭣔
dbok 騷
dboy 𱴋
dbri 𲃋
dbrm 趘
dbro 鳷
dbs 綦
dbsb 霞
dbsb 嘏
dbsb 豭
dbsb 騢
dbsb 碬
dbsg 碾
dbsj 綦
dbsm 𱹽
dbt 挈
dbte 砄
dbte 駃
dbte 赽
dbtn 硧
dbtt 𲎏
dbtu 挈
dbu 支
dbui 支
dbui ⽀
dbum 馭
dbuu 𰆱
dbvc 𰕀
dbvf 𭪛
dbvl 駶
dbvq 驋
dbvv 驏
dbwc 𭣘
dbwi 𮗈
dbx 翅
dbxa 攳
dbxa 𰕁
dbxa 𱻿
dbxk 攰
dbxx 翅
dbyh 觢
dbyi 恝
dbyt 觢
dc 要
dcac 𱴀
dcal 𮀫
dcaw 𰢥
dcbg 𰅶
dcbs 豝
dcbu 𮩼
dcdm 𲊸
dcem 幚
dceo 𭒍
dcew 霳
dcew 𱴶
dcfj 𮁂
dciw 𰝙
dcj 邦
dcjl 郲
dcjn 邦
dcjr 𭦫
dckk 起
dckk 起
dckq 𲃐
dckt 𰴍
dcm 帮
dcmv 帮
dcnd 𰌌
dcnu 𮰼
dcnx 要
dcoc 𮗉
dcog 𱁚
dcq 霧
dcqe 霚
dcqf 騥
dcql 驈
dcql 霱
dcqm 霿
dcqm 𮗅
dcqp 雺
dcqx 霧
dcqx 𱐷
dcsw 𰶭
dcv 孬
dcvk 孬
dcwt 覅
dcwu 𮫠
dcy 馳
dcym 馳
dcyt 𰴌
dcyy 𮁉
dd 慧
dd 、
ddb 鼓
ddbb 𮁘
ddbb 𲋺
ddbc 𰌘
ddbd 鼙
ddbd 𱳫
ddbf 鼘
ddbf 𲎜
ddbg 碶
ddbg 𮝪
ddbh 鼚
ddbh 鼞
ddbk 鼜
ddbl 鼛
ddbl 𱌋
ddbm 瞽
ddbs 鼕
ddbs 𲎛
ddbt 𱌊
ddbu 鼓
ddbu 鼟
ddbu 馶
ddbu ⿎
ddby 𮩑
ddcn 騕
ddcn 嫑
ddd 磊
ddd 壴
dddd 壴
dddf 𰘾
dddh 磊
dddh 騞
dddh 磊
dddm 驫
ddej 𲌁
ddf 碱
ddfi 駓
ddfl 碱
ddfm 礵
ddfm 驦
ddfn 𮀬
ddfv 𮪕
ddge 驖
ddgg 驖
ddgt 𲊂
ddh 驃
ddhg 𮀽
ddhh 砳
ddhj 碁
ddhn 砉
ddhs 驃
ddhs 磦
ddht 𱗵
ddhy 雼
ddiv 𮗌
ddjd 磹
ddjd 驔
ddjm 騏
ddjt 礌
ddk 硕
ddkb 硕
ddkd 𭬋
ddkd 𮁋
ddkm 磩
ddlm 騋
ddlt 𰶰
ddlv 礂
ddlv 𮚿
ddlv 𱴁
ddly 𮦕
ddm 碼
ddmb 碩
ddmb 顂
ddmb 𲊳
ddmd 剨
ddmh 碼
ddmj 𱄹
ddmm 騳
ddmt 磌
ddmt 磌
ddmt 磌
ddmx 𮙤
ddmy 𱴱
ddod 硺
ddom 駀
ddow 礮
ddqp 𰦭
ddqr 𮀚
ddqr 𱄝
ddsh 𮪈
ddsk 豮
ddsk 𰷷
ddsm 豶
ddsr 礝
ddss 豩
ddsx 𱴭
ddtb 𰸀
ddti 𱄛
ddtj 𱱁
ddto 駹
ddto 硥
ddu 燹
dduo 燹
ddvg 𰷸
ddwi 礭
ddww 礟
ddx 硒
ddxc 霋
ddxh 硒
ddxi 碪
ddxk 𰦮
ddxl 彗
ddxu 熭
ddxx 磡
ddxy 慧
ddyb 𱴥
ddyi 𰑼
ddyi 𱄪
ddyv 𰦼
de 斯
dea 駙
deac 駙
deai 𱴈
deav 麪
deax 麫
debh 砶
debq 𱴞
debu 𰦥
debu 𲋴
decn 𲃍
decy 𱄕
dede 𲎐
dedh 𮀰
dedh 𰧣
dedk 𰧉
dedl 麳
dedm 碷
deea 𱄡
deem 礩
defi 駈
defq 碫
deft 𮀠
defu 麱
defw 𮦙
deg 麵
degg 𲉷
degi 麵
degn 騜
degn 𱴜
degu 麩
deh 故
dehd 𮮦
dehg 故
dehl 麥
dehl ⿆
dehm 駇
dehm 𰃄
dehv 麮
dehx 𮦡
dei 欺
deih 砍
deij 欺
deik 赼
deim 𮩹
dej 斫
dejh 斫
dejj 斯
dejk 赾
dejm 馸
deju 麷
dekc 蟴
dekk 𲃊
dekl 𰠁
deks 麯
dekv 騡
dekx 𰶨
del 硌
delf 𮀮
dell 驕
dell 趫
dell 礄
delv 駱
delv 硌
delv 𲂞
delv 駱
demc 𱌥
demq 麨
demu 磃
demx 麲
denf 𲊅
denv 𮚼
denx 𲁉
deo 覈
deoe 覈
deoe 礉
depv 麶
deqm 𮀟
deqn 𱡰
deqv 麧
dera 𲊁
desi 𮗀
desi 𰋋
desj 硾
desj 𮮁
desj 𱋃
deso 𮮂
desq 覄
desq 𲉶
dest 𮮀
deti 硚
deti 𰷶
detj 𱄺
deuu 𮭽
dev 礫
devd 𮁏
devf 礫
devg 磎
devg 豯
devg 騱
devp 麬
devw 麰
dew 麴
dewc 麭
dewh 𱳳
dewo 磘
dewp 麴
dex 雾
dexk 雾
dexn 霆
dexq 磤
dexq 𱄬
dexv 碀
deyi 憗
df 感
dfa 博
dfac 博
dfac 磗
dfac 博
dfau 霊
dfbm 𰦧
dfc 威
dfcj 邳
dfcl 𲂡
dfcn 威
dfcp 𮞩
dff 霖
dffi 砵
dffn 礎
dfft 霦
dffv 霖
dffv 碄
dfgl 𮀙
dfgn 碔
dfgn 𮦔
dfi 丕
dfiu 丕
dfiw 戌
dfj 碴
dfjf 碴
dfjf 礓
dfjw 硬
dfkf 𮁄
dfkf 𮁐
dfl 咸
dflh 觱
dflk 𭱡
dflm 顑
dflp 𮀼
dflr 𮭗
dflt 觱
dflv 咸
dflv 趚
dfly 感
dfm 霜
dfmf 霜
dfmk 𮡣
dfmy 鹴
dfn 歪
dfni 歪
dfni 𮀗
dfnx 𭭪
dfoh 矼
dfpd 𮞶
dfr 趔
dfrm 趔
dfs 研
dfsc 鄠
dfsj 研
dfsj 豜
dfsk 雩
dfsm 硎
dfst 揅
dftv 硹
dfuo 烕
dfus 豧
dfv 栗
dfvf 硜
dfvj 棊
dfvx 栗
dfvy 雬
dfxv 𮗇
dg 越
dga 磚
dgac 磚
dgal 碕
dgbf 𭫑
dgbu 壾
dgc 遷
dgch 硨
dgcp 遷
dgdh 𮀋
dgdm 覊
dgdu 奀
dgf 栽
dgff 韯
dgfv 栽
dgg 古
dgga 𮁗
dggd 古
dggf 𮁊
dggg 碊
dggl 覉
dggo 酨
dgh 载
dghc 载
dghk 臷
dgij 𮗋
dgj 戴
dgjt 戴
dgkc 蛓
dgkd 硽
dgkt 胾
dglf 韯
dgli 𮧇
dglv 哉
dglv 𮀏
dglv 𮀕
dgm 砸
dgmv 砸
dgnh 𮀍
dgno 尪
dgo 裁
dgob 𮗁
dgod 砡
dgok 𮦤
dgor 裁
dgpd 鿎
dgsj 硦
dgsl 𮀻
dgtb 𮦜
dgtt 硤
dgtw 𮀾
dgu 硖
dgue 硖
dgug 𮚽
dguh 砆
dguk 𮚴
dguo 烖
dgw 霸
dgwi 截
dgwp 𮟙
dgww 磢
dgwy 霸
dgwy 覇
dgxi 越
dh 石
dha 甄
